,plantid,genotype_name,cluster
33060,943,DH_KE0141,
33096,944,DH_PE0395,
33131,945,DH_KE0291,
33166,946,DH_PE0223,
33202,947,DH_PE0219,
33238,948,DH_PE0351,
33272,949,DH_PE0036,
33308,950,DH_KE0448,
33344,951,DH_PE0550,
33379,952,DH_KE0084,
33415,953,DH_PE0170,
33451,954,DH_PE0560,
33486,955,DH_KE0033,
33522,956,DH_PE0230,
33558,957,DH_KE0367,
33593,958,DH_PE0279,
33629,959,DH_KE0639,
33665,960,DH_PE0011,
33700,961,DH_PE0016,
33736,962,DH_KE0173,
33772,963,DH_PE0554,
33805,964,DH_KE0407,
33841,965,DH_KE0265,
33877,966,DH_KE0127,
33912,967,DH_KE0118,
33948,968,DH_KE0424,
33984,969,DH_PE0295,
34019,970,DH_PE0420,
34055,971,DH_KE0269,
34091,972,DH_KE0510,
34126,973,DH_PE0035,
34162,975,DH_PE0549,
34197,976,DH_KE0669,
34232,977,DH_KE0142,
34268,979,DH_KE0491,
34303,980,DH_KE0371,
34339,981,DH_KE0076,
34373,982,DH_KE0190,
34408,983,DH_PE0023,
34444,984,DH_PE0134,
34479,985,DH_PE0008,
34514,986,DH_PE0204,
34550,987,DH_PE0485,
34585,988,DH_KE0430,
34620,989,DH_KE0222,
34656,990,DH_PE0328,
34691,991,DH_PE0161,
34726,992,DH_KE0605,
34761,993,DH_PE0421,
34796,994,DH_PE0513,
34831,995,DH_PE0338,
34866,996,DH_PE0593,
34901,997,DH_PE0156,
34936,998,DH_KE0552,
34972,999,DH_KE0202,
35007,1000,DH_KE0215,
35042,1001,DH_KE0074,
35078,1002,DH_PE0146,
35113,1003,DH_KE0046,
35148,1005,DH_KE0072,
35183,1006,DH_KE0571,
35218,1007,DH_PE0256,
35254,1008,DH_PE0213,
35289,1009,DH_PE0174,
35324,1010,DH_PE0424,
35360,1011,DH_PE0497,
35395,1012,DH_KE0081,
35431,1013,DH_KE0161,
35467,1014,DH_PE0053,
35501,1015,DH_KE0041,
35537,1016,DH_PE0034,
35573,1017,DH_KE0200,
35608,1018,DH_KE0414,
35643,1019,DH_KE0662,
35679,1020,DH_PE0027,
35714,1021,DH_PE0085,
35750,1022,DH_PE0479,
35784,1023,DH_PE0387,
35819,1024,DH_PE0149,
35855,1025,DH_KE0001,
35891,1026,DH_KE0088,
35925,1027,DH_PE0197,
35960,1028,DH_KE0489,
35995,1029,DH_PE0422,
36030,1030,DH_KE0294,
36066,1031,DH_KE0004,
36102,1032,DH_PE0504,
36137,1033,DH_KE0482,
36173,1034,DH_KE0153,
36208,1035,DH_KE0070,
36243,1036,DH_PE0102,
36279,1037,DH_KE0244,
36315,1038,DH_KE0703,
36350,1039,DH_PE0140,
